n_value, s_value, expected_mean
500,0.000000,33.8627
500,0.001000,33.5674
500,0.002000,33.2749
500,0.003000,32.9852
500,0.004000,32.6982
500,0.005000,32.4139
500,0.006000,32.1323
500,0.007000,31.8533
500,0.008000,31.5769
500,0.009000,31.3031
500,0.010000,31.0318
500,0.011000,30.7631
500,0.012000,30.4969
500,0.013000,30.2332
500,0.014000,29.972
500,0.015000,29.7132
500,0.016000,29.4568
500,0.017000,29.203
500,0.018000,28.9515
500,0.019000,28.7024
500,0.020000,28.4557
500,0.021000,28.2111
500,0.022000,27.9689
500,0.023000,27.729
500,0.024000,27.4913
500,0.025000,27.2559
500,0.026000,27.0228
500,0.027000,26.7918
500,0.028000,26.563
500,0.029000,26.3363
500,0.030000,26.1117
500,0.031000,25.8893
500,0.032000,25.6688
500,0.033000,25.4505
500,0.034000,25.2342
500,0.035000,25.02
500,0.036000,24.8077
500,0.037000,24.5975
500,0.038000,24.3892
500,0.039000,24.1829
500,0.040000,23.9786
500,0.041000,23.7762
500,0.042000,23.5756
500,0.043000,23.3771
500,0.044000,23.1804
500,0.045000,22.9856
500,0.046000,22.7925
500,0.047000,22.6013
500,0.048000,22.4118
500,0.049000,22.2241
500,0.050000,22.0382
500,0.051000,21.854
500,0.052000,21.6715
500,0.053000,21.4908
500,0.054000,21.3117
500,0.055000,21.1343
500,0.056000,20.9585
500,0.057000,20.7844
500,0.058000,20.612
500,0.059000,20.4412
500,0.060000,20.272
500,0.061000,20.1044
500,0.062000,19.9384
500,0.063000,19.7739
500,0.064000,19.6109
500,0.065000,19.4494
500,0.066000,19.2894
500,0.067000,19.1309
500,0.068000,18.9738
500,0.069000,18.8181
500,0.070000,18.6639
500,0.071000,18.5112
500,0.072000,18.3598
500,0.073000,18.2098
500,0.074000,18.0611
500,0.075000,17.9138
500,0.076000,17.7679
500,0.077000,17.6234
500,0.078000,17.4802
500,0.079000,17.3384
500,0.080000,17.1979
500,0.081000,17.0587
500,0.082000,16.9208
500,0.083000,16.7842
500,0.084000,16.6488
500,0.085000,16.5146
500,0.086000,16.3817
500,0.087000,16.25
500,0.088000,16.1195
500,0.089000,15.9902
500,0.090000,15.8621
500,0.091000,15.7353
500,0.092000,15.6096
500,0.093000,15.4851
500,0.094000,15.3618
500,0.095000,15.2395
500,0.096000,15.1184
500,0.097000,14.9984
500,0.098000,14.8795
500,0.099000,14.7617
500,0.100000,14.645
500,0.101000,14.5294
500,0.102000,14.4148
500,0.103000,14.3013
500,0.104000,14.1888
500,0.105000,14.0774
500,0.106000,13.9669
500,0.107000,13.8575
500,0.108000,13.7491
500,0.109000,13.6417
500,0.110000,13.5353
500,0.111000,13.4299
500,0.112000,13.3254
500,0.113000,13.222
500,0.114000,13.1194
500,0.115000,13.0179
500,0.116000,12.9172
500,0.117000,12.8175
500,0.118000,12.7187
500,0.119000,12.6208
500,0.120000,12.5238
500,0.121000,12.4277
500,0.122000,12.3325
500,0.123000,12.2381
500,0.124000,12.1446
500,0.125000,12.052
500,0.126000,11.9603
500,0.127000,11.8694
500,0.128000,11.7794
500,0.129000,11.6901
500,0.130000,11.6017
500,0.131000,11.5141
500,0.132000,11.4273
500,0.133000,11.3413
500,0.134000,11.2561
500,0.135000,11.1716
500,0.136000,11.0879
500,0.137000,11.0049
500,0.138000,10.9227
500,0.139000,10.8412
500,0.140000,10.7605
500,0.141000,10.6804
500,0.142000,10.601
500,0.143000,10.5225
500,0.144000,10.4446
500,0.145000,10.3674
500,0.146000,10.291
500,0.147000,10.2153
500,0.148000,10.1402
500,0.149000,10.0658
500,0.150000,9.9921
500,0.151000,9.91905
500,0.152000,9.84665
500,0.153000,9.77489
500,0.154000,9.70377
500,0.155000,9.63328
500,0.156000,9.56346
500,0.157000,9.49429
500,0.158000,9.42575
500,0.159000,9.35784
500,0.160000,9.29053
500,0.161000,9.2238
500,0.162000,9.15768
500,0.163000,9.09215
500,0.164000,9.0272
500,0.165000,8.96283
500,0.166000,8.89907
500,0.167000,8.83593
500,0.168000,8.77337
500,0.169000,8.71135
500,0.170000,8.64986
500,0.171000,8.58895
500,0.172000,8.52858
500,0.173000,8.46875
500,0.174000,8.40949
500,0.175000,8.3508
500,0.176000,8.29264
500,0.177000,8.23502
500,0.178000,8.17791
500,0.179000,8.12132
500,0.180000,8.06524
500,0.181000,8.00966
500,0.182000,7.95461
500,0.183000,7.90003
500,0.184000,7.84595
500,0.185000,7.79239
500,0.186000,7.73931
500,0.187000,7.68672
500,0.188000,7.6346
500,0.189000,7.58297
500,0.190000,7.5318
500,0.191000,7.48109
500,0.192000,7.43084
500,0.193000,7.38101
500,0.194000,7.33165
500,0.195000,7.28273
500,0.196000,7.23424
500,0.197000,7.18621
500,0.198000,7.13862
500,0.199000,7.09147
500,0.200000,7.04472
500,0.201000,6.9984
500,0.202000,6.9525
500,0.203000,6.90699
500,0.204000,6.86189
500,0.205000,6.81719
500,0.206000,6.7729
500,0.207000,6.72898
500,0.208000,6.68545
500,0.209000,6.6423
500,0.210000,6.59953
500,0.211000,6.55714
500,0.212000,6.51512
500,0.213000,6.47347
500,0.214000,6.43219
500,0.215000,6.39127
500,0.216000,6.35069
500,0.217000,6.31047
500,0.218000,6.27059
500,0.219000,6.23105
500,0.220000,6.19186
500,0.221000,6.15301
500,0.222000,6.11452
500,0.223000,6.07637
500,0.224000,6.03857
500,0.225000,6.00109
500,0.226000,5.96393
500,0.227000,5.92714
500,0.228000,5.89068
500,0.229000,5.85454
500,0.230000,5.81871
500,0.231000,5.7832
500,0.232000,5.748
500,0.233000,5.7131
500,0.234000,5.67849
500,0.235000,5.6442
500,0.236000,5.61021
500,0.237000,5.57651
500,0.238000,5.54311
500,0.239000,5.50998
500,0.240000,5.47713
500,0.241000,5.44456
500,0.242000,5.41223
500,0.243000,5.38019
500,0.244000,5.34842
500,0.245000,5.31691
500,0.246000,5.2857
500,0.247000,5.25476
500,0.248000,5.2241
500,0.249000,5.19371
500,0.250000,5.16357
500,0.251000,5.1337
500,0.252000,5.10409
500,0.253000,5.07474
500,0.254000,5.04566
500,0.255000,5.01681
500,0.256000,4.98821
500,0.257000,4.95984
500,0.258000,4.93169
500,0.259000,4.90378
500,0.260000,4.87611
500,0.261000,4.84867
500,0.262000,4.82145
500,0.263000,4.79447
500,0.264000,4.76772
500,0.265000,4.74119
500,0.266000,4.71489
500,0.267000,4.68882
500,0.268000,4.66296
500,0.269000,4.6373
500,0.270000,4.61186
500,0.271000,4.58662
500,0.272000,4.56159
500,0.273000,4.53675
500,0.274000,4.51212
500,0.275000,4.48768
500,0.276000,4.46345
500,0.277000,4.43942
500,0.278000,4.41559
500,0.279000,4.39196
500,0.280000,4.36854
500,0.281000,4.3453
500,0.282000,4.32224
500,0.283000,4.29937
500,0.284000,4.2767
500,0.285000,4.2542
500,0.286000,4.23187
500,0.287000,4.20973
500,0.288000,4.18777
500,0.289000,4.166
500,0.290000,4.1444
500,0.291000,4.12299
500,0.292000,4.10174
500,0.293000,4.08065
500,0.294000,4.05973
500,0.295000,4.03898
500,0.296000,4.0184
500,0.297000,3.99796
500,0.298000,3.9777
500,0.299000,3.95762
500,0.300000,3.93771
500,0.301000,3.91796
500,0.302000,3.89838
500,0.303000,3.87895
500,0.304000,3.85968
500,0.305000,3.84055
500,0.306000,3.82155
500,0.307000,3.8027
500,0.308000,3.784
500,0.309000,3.76546
500,0.310000,3.74706
500,0.311000,3.72879
500,0.312000,3.71068
500,0.313000,3.6927
500,0.314000,3.67487
500,0.315000,3.65717
500,0.316000,3.63961
500,0.317000,3.62219
500,0.318000,3.6049
500,0.319000,3.58774
500,0.320000,3.57073
500,0.321000,3.55385
500,0.322000,3.53711
500,0.323000,3.52049
500,0.324000,3.504
500,0.325000,3.48764
500,0.326000,3.4714
500,0.327000,3.4553
500,0.328000,3.43932
500,0.329000,3.42347
500,0.330000,3.40775
500,0.331000,3.39215
500,0.332000,3.37665
500,0.333000,3.36127
500,0.334000,3.34601
500,0.335000,3.33086
500,0.336000,3.31582
500,0.337000,3.3009
500,0.338000,3.28609
500,0.339000,3.27138
500,0.340000,3.25679
500,0.341000,3.24231
500,0.342000,3.22795
500,0.343000,3.2137
500,0.344000,3.19956
500,0.345000,3.18553
500,0.346000,3.1716
500,0.347000,3.15779
500,0.348000,3.14409
500,0.349000,3.13048
500,0.350000,3.11698
500,0.351000,3.10358
500,0.352000,3.09027
500,0.353000,3.07707
500,0.354000,3.06396
500,0.355000,3.05094
500,0.356000,3.03802
500,0.357000,3.0252
500,0.358000,3.01246
500,0.359000,2.99982
500,0.360000,2.98727
500,0.361000,2.97482
500,0.362000,2.96246
500,0.363000,2.9502
500,0.364000,2.93804
500,0.365000,2.92596
500,0.366000,2.91398
500,0.367000,2.90208
500,0.368000,2.89028
500,0.369000,2.87856
500,0.370000,2.86693
500,0.371000,2.85538
500,0.372000,2.84392
500,0.373000,2.83254
500,0.374000,2.82125
500,0.375000,2.81004
500,0.376000,2.79891
500,0.377000,2.78787
500,0.378000,2.7769
500,0.379000,2.76602
500,0.380000,2.75522
500,0.381000,2.7445
500,0.382000,2.73385
500,0.383000,2.72328
500,0.384000,2.71279
500,0.385000,2.70238
500,0.386000,2.69205
500,0.387000,2.68179
500,0.388000,2.6716
500,0.389000,2.66148
500,0.390000,2.65144
500,0.391000,2.64147
500,0.392000,2.63157
500,0.393000,2.62173
500,0.394000,2.61197
500,0.395000,2.60228
500,0.396000,2.59265
500,0.397000,2.58308
500,0.398000,2.57358
500,0.399000,2.56415
500,0.400000,2.55477
500,0.401000,2.54546
500,0.402000,2.53622
500,0.403000,2.52704
500,0.404000,2.51792
500,0.405000,2.50886
500,0.406000,2.49987
500,0.407000,2.49093
500,0.408000,2.48206
500,0.409000,2.47325
500,0.410000,2.4645
500,0.411000,2.45581
500,0.412000,2.44719
500,0.413000,2.43862
500,0.414000,2.43012
500,0.415000,2.42167
500,0.416000,2.41329
500,0.417000,2.40496
500,0.418000,2.39669
500,0.419000,2.38848
500,0.420000,2.38032
500,0.421000,2.37222
500,0.422000,2.36417
500,0.423000,2.35618
500,0.424000,2.34824
500,0.425000,2.34036
500,0.426000,2.33253
500,0.427000,2.32475
500,0.428000,2.31702
500,0.429000,2.30934
500,0.430000,2.30171
500,0.431000,2.29413
500,0.432000,2.2866
500,0.433000,2.27913
500,0.434000,2.2717
500,0.435000,2.26432
500,0.436000,2.25699
500,0.437000,2.24971
500,0.438000,2.24248
500,0.439000,2.2353
500,0.440000,2.22816
500,0.441000,2.22107
500,0.442000,2.21403
500,0.443000,2.20703
500,0.444000,2.20008
500,0.445000,2.19318
500,0.446000,2.18632
500,0.447000,2.17951
500,0.448000,2.17274
500,0.449000,2.16602
500,0.450000,2.15934
500,0.451000,2.1527
500,0.452000,2.14611
500,0.453000,2.13956
500,0.454000,2.13305
500,0.455000,2.12659
500,0.456000,2.12017
500,0.457000,2.11378
500,0.458000,2.10744
500,0.459000,2.10114
500,0.460000,2.09488
500,0.461000,2.08865
500,0.462000,2.08247
500,0.463000,2.07633
500,0.464000,2.07022
500,0.465000,2.06416
500,0.466000,2.05814
500,0.467000,2.05215
500,0.468000,2.04621
500,0.469000,2.0403
500,0.470000,2.03443
500,0.471000,2.0286
500,0.472000,2.0228
500,0.473000,2.01704
500,0.474000,2.01132
500,0.475000,2.00564
500,0.476000,1.99999
500,0.477000,1.99437
500,0.478000,1.98879
500,0.479000,1.98325
500,0.480000,1.97774
500,0.481000,1.97226
500,0.482000,1.96682
500,0.483000,1.96141
500,0.484000,1.95604
500,0.485000,1.9507
500,0.486000,1.94539
500,0.487000,1.94011
500,0.488000,1.93487
500,0.489000,1.92965
500,0.490000,1.92447
500,0.491000,1.91932
